
--- Starting new training session ---
Training FNO model with config: configs/training/FNO.yaml
All devices: [CudaDevice(id=0)]
Default backend: gpu
Starting training for FNO

--- Training for family: Prada2013_CC ---
Loading dataset from: data/dataset/FNO/Prada2013_CC_11000.npz

--- Training anode model for Prada2013_CC ---
X_train shape: (9900, 24, 85, 4), Y_train shape: (9900, 24, 85, 1)

Training anode:   0%|          | 0/150 [00:00<?, ?it/s]2026-06-03 23:23:46.297170: W external/xla/xla/service/gpu/autotuning/dot_search_space.cc:200] All configs were filtered out because none of them sufficiently match the hints. Maybe the hints set does not contain a good representative set of valid configs?Working around this by using the full hints set instead.

Epoch 39/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  26%|██▌       | 39/150 [02:29<06:39,  3.60s/it]
Epoch 40/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  26%|██▌       | 39/150 [02:33<06:39,  3.60s/it]
Epoch 40/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  27%|██▋       | 40/150 [02:33<06:35,  3.60s/it]
Epoch 41/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  27%|██▋       | 40/150 [02:36<06:35,  3.60s/it]
Epoch 41/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  27%|██▋       | 41/150 [02:36<06:31,  3.59s/it]
Epoch 42/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  27%|██▋       | 41/150 [02:40<06:31,  3.59s/it]
Epoch 42/150 | Train Loss: 0.0008 | Test Loss: 0.0008:  28%|██▊       | 42/150 [02:40<06:28,  3.60s/it]
Epoch 43/150 | Train Loss: 0.0009 | Test Loss: 0.0007:  28%|██▊       | 42/150 [02:44<06:28,  3.60s/it]
Epoch 43/150 | Train Loss: 0.0009 | Test Loss: 0.0007:  29%|██▊       | 43/150 [02:44<06:26,  3.61s/it]
Epoch 44/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  29%|██▊       | 43/150 [02:47<06:26,  3.61s/it]
Epoch 44/150 | Train Loss: 0.0008 | Test Loss: 0.0007:  29%|██▉       | 44/150 [02:47<06:19,  3.58s/it]
Epoch 45/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  29%|██▉       | 44/150 [02:51<06:19,  3.58s/it]
Epoch 45/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  30%|███       | 45/150 [02:51<06:14,  3.57s/it]
Epoch 46/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  30%|███       | 45/150 [02:54<06:14,  3.57s/it]
Epoch 46/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  31%|███       | 46/150 [02:54<06:09,  3.55s/it]
Epoch 47/150 | Train Loss: 0.0008 | Test Loss: 0.0009:  31%|███       | 46/150 [02:58<06:09,  3.55s/it]
Epoch 47/150 | Train Loss: 0.0008 | Test Loss: 0.0009:  31%|███▏      | 47/150 [02:58<06:05,  3.55s/it]
Epoch 48/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  31%|███▏      | 47/150 [03:01<06:05,  3.55s/it]
Epoch 48/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  32%|███▏      | 48/150 [03:01<06:01,  3.54s/it]
Epoch 49/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  32%|███▏      | 48/150 [03:05<06:01,  3.54s/it]
Epoch 49/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  33%|███▎      | 49/150 [03:05<05:56,  3.53s/it]
Epoch 50/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  33%|███▎      | 49/150 [03:08<05:56,  3.53s/it]
Epoch 50/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  33%|███▎      | 50/150 [03:08<05:52,  3.53s/it]
Epoch 51/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  33%|███▎      | 50/150 [03:12<05:52,  3.53s/it]
Epoch 51/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  34%|███▍      | 51/150 [03:12<05:49,  3.53s/it]
Epoch 52/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  34%|███▍      | 51/150 [03:15<05:49,  3.53s/it]
Epoch 52/150 | Train Loss: 0.0007 | Test Loss: 0.0007:  35%|███▍      | 52/150 [03:15<05:45,  3.53s/it]
Epoch 53/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  35%|███▍      | 52/150 [03:19<05:45,  3.53s/it]
Epoch 53/150 | Train Loss: 0.0007 | Test Loss: 0.0008:  35%|███▌      | 53/150 [03:19<05:42,  3.53s/it]
Epoch 54/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  35%|███▌      | 53/150 [03:22<05:42,  3.53s/it]
Epoch 54/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  36%|███▌      | 54/150 [03:22<05:38,  3.53s/it]
Epoch 55/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  36%|███▌      | 54/150 [03:26<05:38,  3.53s/it]
Epoch 55/150 | Train Loss: 0.0007 | Test Loss: 0.0006:  37%|███▋      | 55/150 [03:26<05:34,  3.52s/it]
Epoch 56/150 | Train Loss: 0.0007 | Test Loss: 0.0009:  37%|███▋      | 55/150 [03:29<05:34,  3.52s/it]
Epoch 56/150 | Train Loss: 0.0007 | Test Loss: 0.0009:  37%|███▋      | 56/150 [03:29<05:30,  3.52s/it]
